hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
35, 0.00000, 6.54631, 3.73694, 4.67375, 4.19855, 5.21026, 2.34606, 0, 0
35, 600.00000, 6.23336, 3.69139, 4.36318, 4.13094, 4.91761, 2.29154, 0, 0
35, 1200.00000, 6.10386, 3.6558, 4.24397, 4.08201, 4.80481, 2.25819, 0, 0
35, 1800.00000, 5.99967, 3.59897, 4.16255, 4.00864, 4.72633, 2.21281, 0, 0
35, 2400.00000, 5.83769, 3.54325, 4.01906, 3.93299, 4.59085, 2.16314, 0, 0
35, 3000.00000, 5.53071, 3.49361, 3.71681, 3.86025, 4.30624, 2.10605, 0, 0
36, 0.00000, 5.7261, 3.49176, 3.92493, 3.86667, 4.50083, 2.11936, 0, 0
36, 600.00000, 5.67482, 3.50319, 3.86459, 3.87742, 4.44561, 2.12261, 0, 0
36, 1200.00000, 6.05938, 3.48979, 4.28104, 3.87722, 4.83469, 2.14342, 0, 0
36, 1800.00000, 6.07959, 3.49017, 4.30265, 3.87744, 4.85574, 2.14493, 0, 0
36, 2400.00000, 6.3281, 3.5101, 4.55724, 3.91142, 5.09512, 2.17715, 0, 0
36, 3000.00000, 6.36089, 3.51535, 4.58966, 3.91873, 5.12594, 2.18312, 0, 0
37, 0.00000, 6.28336, 3.5161, 4.50706, 3.91551, 5.04931, 2.17749, 0, 0
37, 600.00000, 6.3798, 3.51488, 4.60999, 3.91969, 5.14432, 2.18458, 0, 0
37, 1200.00000, 6.614, 3.59205, 4.81848, 4.02417, 5.34202, 2.25315, 0, 0
37, 1800.00000, 7.18386, 3.66971, 5.38938, 4.14045, 5.87895, 2.35101, 0, 0
37, 2400.00000, 7.56357, 3.72797, 5.76688, 4.22504, 6.23475, 2.42052, 0, 0
37, 3000.00000, 8.28432, 3.83151, 6.48775, 4.37601, 6.91449, 2.54788, 0, 0
38, 0.00000, 8.98164, 3.96185, 7.13541, 4.56754, 7.53398, 2.66581, 0, 0
38, 600.00000, 10.7181, 4.12077, 8.83505, 4.82941, 9.16286, 2.84435, 0, 0
38, 1200.00000, 11.5061, 4.22281, 9.59207, 4.98231, 9.89133, 2.94497, 0, 0
38, 1800.00000, 2.38297, 3.80671, 0.395663, 4.75362, 0.569269, 2.55911, 0, 0
38, 2400.00000, 3.60409, 3.74408, 1.68905, 4.81581, 1.71842, 2.62148, 0, 0
38, 3000.00000, 4.05519, 3.7246, 2.16628, 4.84255, 2.14256, 2.64774, 0, 0
39, 0.00000, 6.82099, 3.60308, 5.10644, 4.99638, 4.75709, 2.81489, 0, 0
39, 600.00000, 7.88271, 3.59279, 6.22286, 5.09432, 5.75242, 2.90608, 0, 0
39, 1200.00000, 8.33014, 3.59827, 6.68838, 5.14647, 6.16848, 2.95056, 0, 0
39, 1800.00000, 9.48445, 3.59171, 7.9053, 5.25544, 7.25404, 3.05599, 0, 0
39, 2400.00000, 10.923, 3.53967, 9.45154, 5.33806, 8.62983, 3.16452, 0, 0
39, 3000.00000, 15.7728, 3.45267, 14.6769, 5.69438, 13.2835, 3.6245, 0, 0
40, 0.00000, 17.2683, 3.48566, 16.2728, 5.86551, 14.7095, 3.81345, 0, 0
40, 600.00000, 19.7646, 3.58092, 18.9324, 6.18954, 17.0894, 4.16455, 0, 0
40, 1200.00000, 20.2331, 3.60248, 19.4326, 6.25327, 17.5372, 4.2346, 0, 0
40, 1800.00000, 22.1402, 3.76186, 21.4332, 6.59285, 19.335, 4.56507, 0, 0
40, 2400.00000, 22.5573, 3.83837, 21.8478, 6.71472, 19.7115, 4.6621, 0, 0
40, 3000.00000, 23.7871, 4.04631, 23.0833, 7.05207, 20.8322, 4.93972, 0, 0
41, 0.00000, 24.8154, 4.17176, 24.1555, 7.27397, 21.7988, 5.15136, 0, 0
41, 600.00000, 25.3398, 4.33927, 24.6452, 7.50555, 22.2504, 5.32088, 0, 0
41, 1200.00000, 25.994, 4.43028, 25.3343, 7.65802, 22.8688, 5.47291, 0, 0
41, 1800.00000, 27.0741, 4.59823, 26.4662, 7.92734, 23.8871, 5.73629, 0, 0
41, 2400.00000, 28.035, 4.8307, 27.4121, 8.28951, 24.7282, 6.02068, 0, 0
41, 3000.00000, 20.1867, 3.98919, 19.4226, 7.83223, 16.4764, 5.24897, 0, 0
42, 0.00000, 22.0612, 4.31145, 21.234, 8.28653, 18.2051, 5.58263, 0, 0
42, 600.00000, 24.0539, 4.77136, 23.1129, 8.94603, 19.968, 6.04372, 0, 0
42, 1200.00000, 24.4837, 4.87772, 23.5089, 9.09108, 20.3474, 6.14016, 0, 0
42, 1800.00000, 24.9782, 5.00191, 23.9654, 9.25871, 20.7853, 6.25318, 0, 0
42, 2400.00000, 24.6478, 4.91816, 23.6618, 9.1469, 20.4926, 6.17867, 0, 0
